HIP;RA_J2000;DE_J2000
27078;5.742040;15.063503
28522;6.020774;6.626016
14394;3.094726;23.094043
23150;4.981121;23.836687
23917;5.138987;23.214461
27222;5.769605;22.772652
28353;5.991029;8.415468
18289;3.911588;4.949771
14362;3.088455;3.766726
18566;3.974837;8.368370
19308;4.139067;19.737646
26980;5.724913;16.698344
15651;3.358266;21.438654
16250;3.490358;10.900387
19003;4.071878;12.507445
18890;4.049656;11.366081
21820;4.688821;15.511940
20290;4.348558;15.933871
23666;5.086958;8.942137
27644;5.851970;8.107236
14404;3.096589;14.267614
18542;3.966457;15.628223
18581;3.977041;11.027543
25054;5.364271;4.242971
14842;3.195013;8.118782
15897;3.412850;9.807862
21446;4.605449;11.412500
28843;6.088133;21.387002
22486;4.837588;19.923450
25538;5.460567;4.835237
28789;6.077799;10.509820
14636;3.151956;12.119576
18181;3.889213;23.123611
22556;4.854048;14.356394
15566;3.342819;19.180395
16441;3.528832;18.800125
27036;5.734248;6.515623
27265;5.779305;15.822497
21094;4.520326;23.346064
23784;5.111369;22.510755
24959;5.345419;17.242950
27181;5.760947;20.695037
16132;3.463775;24.182753
19146;4.103292;20.668256
22609;4.864220;8.509244
23673;5.088922;7.562494
27096;5.745710;14.575962
27125;5.752184;12.173358
21554;4.628283;15.346094
21975;4.723596;5.264565
22004;4.730319;15.831329
23163;4.983296;12.960667
25481;5.449779;8.078045
26136;5.573252;5.419755
14484;3.116330;19.628268
16372;3.514844;8.368522
26414;5.622031;8.951875
21399;4.593539;22.020677
27151;5.755936;4.848898
14493;3.119543;19.364032
20531;4.399381;24.303844
27453;5.813143;11.997206
15625;3.353468;13.784013
19853;4.256701;24.078478
27381;5.798984;24.470385
14343;3.082742;12.660000
14977;3.217559;11.268633
16784;3.599997;23.914125
18696;4.005350;23.534284
28495;6.015150;19.814107
14141;3.038904;18.443766
20425;4.375834;5.694206
20897;4.478381;20.677436
21938;4.716249;17.311139
22184;4.772858;6.495543
23167;4.984085;21.736449
24774;5.311490;3.981663
26223;5.587961;8.700740
28762;6.074093;4.785787
16096;3.455854;9.256145
25134;5.379297;19.011564
14433;3.104756;11.665286
18354;3.923904;17.632653
26913;5.713569;17.389445
17904;3.828952;11.446532
20816;4.459988;6.611989
21792;4.681142;7.942254
26573;5.649323;5.463855
14454;3.109257;5.625016
20175;4.325044;19.947814
20547;4.402693;8.554790
13706;2.941562;10.125896
16108;3.458876;5.870437
22346;4.811401;7.839975
24761;5.308786;21.792406
25888;5.526692;17.318590
26887;5.708354;10.538458
28302;5.981455;12.808264
16133;3.464228;20.925160
26163;5.577737;7.563511
21931;4.715355;7.569806
17282;3.700524;18.205709
24032;5.166435;10.892523
25294;5.411347;8.502327
13890;2.981067;22.004550
26377;5.616748;12.474857
15198;3.264808;20.702087
18810;4.030602;7.604889
18341;3.921735;10.771747
18849;4.041275;18.061549
26386;5.617884;11.035005
28200;5.959235;9.581377
15015;3.225999;7.798744
16831;3.608603;16.678285
23599;5.074108;10.186808
20098;4.308790;12.566682
22187;4.772965;23.675114
24121;5.180841;16.428625
18224;3.896524;6.860566
23699;5.093810;23.061050
27773;5.876982;5.164597
16918;3.629106;7.271780
17581;3.765973;6.364146
22831;4.912635;11.928769
23997;5.158746;3.860716
25072;5.368207;3.571631
15098;3.246127;18.028631
24351;5.225528;5.768168
28067;5.933878;11.521849
22857;4.917774;8.969791
16003;3.434685;5.535573
25844;5.517103;12.096764
27504;5.823806;13.921753
27696;5.864071;23.382793
27919;5.907980;8.054342
14550;3.130757;16.073227
15508;3.331112;13.377072
18927;4.057153;13.942681
19997;4.288717;20.512533
18264;3.907527;5.191124
19363;4.148196;23.098583
22222;4.779401;22.343141
26072;5.560788;20.474216
27364;5.795252;13.899599
18645;3.990999;3.783910
21346;4.580470;7.439257
25326;5.416913;9.981052
27482;5.819336;3.651325
28166;5.952052;22.838939
18252;3.903942;9.248208
23616;5.077282;12.698661
18049;3.857501;12.071720
22355;4.812469;22.315132
16205;3.480046;20.624079
17009;3.646963;20.392446
20986;4.500841;8.192268
21572;4.631639;5.770318
23075;4.964853;8.737409
26928;5.715645;5.235790
15115;3.248804;4.300178
16356;3.512427;5.513077
16660;3.572720;8.662433
18001;3.848498;7.163839
20189;4.327291;9.329210
25402;5.434080;15.671781
27597;5.843300;10.542385
18752;4.016626;12.214356
23496;5.050864;14.765698
23561;5.065853;22.533619
16221;3.482920;14.996787
17607;3.772038;20.879788
20111;4.311619;4.750694
24561;5.269619;10.191325
13918;2.988220;10.210301
14201;3.052325;19.801416
14915;3.207324;6.660883
26678;5.669592;5.664975
17300;3.703434;14.792905
20018;4.293941;19.560909
15506;3.329934;19.076250
17435;3.734975;5.055562
19750;4.233608;11.027235
27666;5.857739;18.444223
15157;3.256074;5.840719
15345;3.297894;13.847227
