"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2360",22524,4.84682,16.2105,19.3,83.97,-24.87,7.29,0.536,0,2
"2362",14175,3.04627,12.354,19.33,196.19,14.14,10.21,1.382,0,2
"2363",20563,4.40471,18.0029,19.35,112.72,-33.2,9.99,1.05,0,2
"2365",22203,4.77511,15.472,19.42,91.37,-24.72,8.3,0.665,0,2
"2366",14838,3.19382,19.7267,19.44,154.61,-8.39,4.35,1.033,0,2
"2367",21670,4.65171,7.87098,19.44,91.87,-4.56,5.38,0.257,0,2
"2368",20357,4.35966,14.4098,19.46,105.19,-19.11,6.6,0.412,1,2
"2369",21112,4.52482,13.9035,19.46,92.6,-19.96,7.78,0.54,0,2
"2370",19870,4.26179,20.8198,19.48,111.21,-36.57,7.83,0.705,0,2
"2371",19934,4.27597,21.9075,19.48,105.61,-37.59,9.14,0.813,1,2
"2372",21788,4.6803,23.8096,19.48,63.12,-48.26,8.84,0.688,0,2
"2373",20349,4.35879,21.0399,19.55,105.2,-36,6.79,0.434,1,2
"2374",20086,4.30611,17.4216,19.57,120.57,-40.55,10.01,1.097,0,2
"2375",23069,4.96375,14.0022,19.66,67.17,-19.49,8.89,0.737,0,2
"2376",22422,4.82559,15.8887,19.68,87.37,-23.68,7.72,0.578,0,2
"2377",19263,4.12867,16.5188,19.7,123.1,-25.25,9.94,1.005,0,2
"2378",15572,3.34361,9.03355,19.71,287.04,-62.85,8.46,0.69,0,2
"2379",22688,4.87919,14.6231,19.75,200.05,-37.85,7.51,0.639,0,2
"2381",13674,2.93538,7.92254,19.81,186.3,-46.04,9.93,1.055,0,2
"2382",19098,4.09435,17.9377,19.81,126.34,-29.13,9.31,0.89,0,2
"2383",22265,4.79377,18.2587,19.81,78.87,-38.81,8.54,0.72,0,2
"2384",20350,4.35896,18.4176,19.83,111.05,-31.69,6.8,0.441,1,2
"2385",21008,4.50499,19.8406,19.94,94.9,-28.3,7.09,0.47,1,2
"2387",20082,4.30535,16.0883,20.01,121.88,-19.72,9.57,0.98,1,2
"2388",23497,5.0516,21.59,20.01,68.94,-40.85,4.62,0.155,0,2
"2391",20491,4.39178,24.4054,20.04,93.11,-45.08,7.18,0.462,1,2
"2392",20890,4.477,19.7407,20.09,99.83,-39.82,8.62,0.741,0,2
"2393",20187,4.32691,12.6243,20.13,168.47,-19.23,9.81,0.924,0,2
"2394",22550,4.85348,11.068,20.15,87.6,-8.72,6.79,0.543,1,2
"2395",15304,3.29066,7.65581,20.2,169.3,-7.64,7.38,0.567,0,2
"2397",20901,4.4806,13.0476,20.33,105.17,-15.08,5.02,0.215,0,2
"2398",20614,4.41587,19.042,20.4,110.73,-32.5,5.97,0.378,0,2
"2401",21683,4.65458,15.918,20.51,82.4,-19.53,4.67,0.147,0,2
"2402",27802,5.88327,15.1709,20.53,175.68,103.31,10.39,1.4,0,2
"2404",20916,4.48327,16.1591,20.58,90.28,-25.47,6.59,0.536,1,2
"2405",20480,4.38954,21.3791,20.63,99.77,-39.07,8.84,0.758,1,2
"2406",20885,4.47625,15.9622,20.66,104.76,-15.01,3.84,0.952,1,2
"2407",20577,4.40787,16.8862,20.73,110.89,-24.72,7.79,0.599,1,2
"2408",22044,4.74051,11.1461,20.73,98.87,-13.47,5.39,0.251,0,2
"2409",20679,4.42988,18.0173,20.79,112.62,-35.79,8.99,0.935,0,2
"2410",21654,4.64925,14.1056,20.81,103.31,-21.62,7.96,0.655,0,2
"2411",20842,4.46688,21.6199,20.85,98.82,-40.59,5.72,0.27,0,2
"2412",20713,4.4391,15.6183,20.86,114.66,-33.3,4.48,0.262,0,2
"2414",26444,5.62697,6.11201,21.01,93.4,-89.05,7.64,0.578,0,2
