HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V
27146,"5,754759","13,708460","2,28","3,07","-2,6","8,78","0,145"
28513,"6,018792","23,304858","2,28","2,29","-1,79","7,37","0,575"
22872,"4,919818","20,313810","2,3","7,65","-18,91","8,5","0,34"
23479,"5,046491","6,191839","2,3","0,02","-6,56","9,1","1,363"
19403,"4,156279","18,906740","2,31","21,65","-18,34","8,63","1,245"
20774,"4,450437","19,843306","2,31","6,45","-10,97","7,46","0,317"
21015,"4,506361","8,931843","2,31","6,3","7,94","9,11","1,641"
22441,"4,828912","15,904221","2,31","3,9","-6,92","6,09","1,551"
27965,"5,915746","19,749614","2,32","0,39","-4,14","5,92","-0,145"
21677,"4,653762","22,652255","2,33","0,47","-1,83","8,54","0,306"
19216,"4,119021","21,262891","2,34","30,68","-7,08","8,76","1,21"
21633,"4,646171","6,820353","2,34","8,36","8,41","7,95","1,758"
26341,"5,609297","12,100732","2,34","0,09","-6,5","7,68","0,944"
19328,"4,142239","8,444857","2,35","-13,87","-12,72","9,36","0,662"
19977,"4,284178","6,347413","2,35","-7,94","-20,83","8,86","0,404"
26212,"5,586888","9,613263","2,35","-0,36","-2,52","6,72","-0,133"
26449,"5,627277","23,147453","2,35","-0,74","-5,06","9,05","0,127"
22356,"4,812509","20,359628","2,36","-3,7","-2,09","10,13","0,25"
26138,"5,573495","3,561382","2,36","2,75","-7,1","8,71","0,101"
27343,"5,791489","22,922483","2,36","-3,32","-3,27","7,55","1,137"
14861,"3,198878","10,964451","2,37","2,82","-14,19","8,87","1,176"
19313,"4,139794","8,330341","2,37","-7,52","-10,51","9,99","0,495"
28314,"5,982705","14,351954","2,37","-2,23","-8,39","8,55","1,302"
24446,"5,244263","15,208154","2,38","7,07","-21,3","9,12","1,558"
26839,"5,699215","24,318539","2,38","1,57","-2,37","7,75","0,111"
27747,"5,873168","19,867849","2,38","-5,57","-3,14","5,96","0,549"
23191,"4,990464","20,194069","2,39","30,38","-7,08","8,3","1,1"
25470,"5,446750","13,582189","2,4","3,7","-5,31","7,53","-0,028"
25893,"5,527552","18,244110","2,4","2,9","-38,61","6,77","1,592"
20391,"4,366504","22,256316","2,41","8,94","-1,38","9,39","1,717"
25823,"5,514284","7,091120","2,41","4,1","-13,13","9,98","0,385"
28192,"5,957942","3,537876","2,41","-0,58","-0,35","8,7","1,465"
23426,"5,034864","21,320788","2,42","23,43","-16,45","8,4","1,304"
25972,"5,542431","9,669679","2,42","1,51","-2,35","8,43","-0,001"
16178,"3,473452","5,985873","2,43","5,6","-3,98","9,68","0,569"
24584,"5,274431","7,293906","2,43","-4,36","-3,31","12,17","1,293"
25917,"5,531278","11,204168","2,43","3,34","-12,13","8,52","1,3"
28196,"5,958380","6,391184","2,43","5,3","0,48","8,28","0,034"
18564,"3,974225","11,905790","2,44","4,57","-13,15","10,26","1,58"
23371,"5,024933","23,104222","2,44",-9,"-8,49","8,64","1,27"
14847,"3,195655","23,987068","2,45","-0,45","-11,02","8,85","0,47"
16841,"3,612475","13,291833","2,45","5,97","-9,93","8,45","0,393"
20216,"4,331906","10,618996","2,45","5,85","-16,24","9,27","0,596"
20956,"4,493226","3,838550","2,45","47,66","-40,57","10,2","0,758"
28540,"6,025100","4,912870","2,45","-8,52","-6,17","9,06","0,078"
28784,"6,077333","8,221241","2,45","1,42","-15,03","7,76","1,071"
26916,"5,713789","19,847495","2,46","-1,54","-13,64","9,48","0,579"
27388,"5,800389","22,510783","2,46","-4,07","-10,31","9,67","1,011"
17128,"3,668665","4,630341","2,47","132,5","2,18","10,04","0,643"
19785,"4,240673","23,696422","2,48","-1,75","-12,96","6,77","1,133"
26294,"5,599515","9,531723","2,48","2,57","0,09","8,65","-0,037"
20600,"4,411934","18,913073","2,49","13,28","-16,84","7,35","0,364"
14451,"3,109084","24,221403","2,5","-5,47","-0,61","8,68","1,058"
16778,"3,598754","9,565932","2,5","-6,97","-49,13","11,4","1,106"
13650,"2,929219","7,281069","2,51","6,97","5,07","9,1","0,424"
16414,"3,522534","17,938176","2,51","-14,19","-0,05","6,79","1,545"
16845,"3,613066","4,474364","2,51","19,73","-4,53","8,75","0,402"
27157,"5,757073","6,297877","2,51","14,27","1,68","7,18","0,092"
27203,"5,766289","23,747423","2,51","6,85","-21,1","7,94","0,112"
28750,"6,071379","6,491108","2,51","6,7","-15,45","8,2","0,089"
27697,"5,864470","19,521369","2,52","-1,15","-7,13","7,31","-0,017"
14897,"3,204223","14,039531","2,53","23,44","-1,55","8,78","1,671"
21768,"4,675733","24,442034","2,53","0,3","-14,3","10,42","0,724"
16706,"3,582929","17,710568","2,54","67,34","-41,49","9,85","0,7"
28456,"6,007874","10,218042","2,54","-1,56","-7,32","9,18","0,24"
20209,"4,331031","23,757861","2,56","9,59","-13,09","8,9","0,573"
24103,"5,177763","17,440238","2,56","-0,52","-6,52","7,9","0,044"
25392,"5,431766","15,453864","2,56","1,02","-4,71","7,53","0,011"
19985,"4,286503","5,024567","2,57","-11,34","-16,48","6,91","0,647"
23094,"4,969842","15,798595","2,57","-5,81","-6,53","8,46","0,503"
25306,"5,413337","24,106346","2,57","6,91","-32,64","8,99","1,592"
27338,"5,790610","17,729141","2,57","-2,05","-4,79","5,47","0,301"
19701,"4,220309","6,600489","2,58","28,45","-39,53","9,09","1,282"
28129,"5,945618","16,017186","2,58","0,5","-6,18","9,24","0,04"
22549,"4,853434","5,605104","2,59","-3,62","1,03","3,68","-0,157"
28519,"6,019593","19,420434","2,59","-4,07","-12,32","7,45","0,096"
21871,"4,702473","8,852953","2,6","-3,05","1,08","8,44","0,028"
21875,"4,702916","19,805196","2,6","-3,94","-2,42","10,77","0,584"
25908,"5,529511","19,551203","2,6","-11,07","-2,85","8,72","0,235"
20660,"4,426895","5,645343","2,61","-1,41","3,3","7,03","1,252"
24132,"5,183056","14,921793","2,61","-10,78","-7,85","7,93","0,09"
25867,"5,522320","19,023552","2,61","2,98","-15,71","8,86","1,066"
27877,"5,899549","21,836298","2,61","2,77","-2,27","8,68","0,029"
15939,"3,420561","21,214069","2,62","-12,58","-15,49","7,95","1,844"
25011,"5,355363","4,011948","2,62","-1,62","-12,18","6,49","-0,089"
26792,"5,690521","9,198347","2,62","0,98","-1,86","7,48","-0,14"
23974,"5,152590","13,965194","2,63","-31,45","-3,84","9,96","0,492"
16119,"3,460948","22,897808","2,64","7,86","-32,32","10,97","0,732"
18063,"3,860717","10,843438","2,64","-3,5",-4,"8,27","0,173"
23151,"4,981321","24,495712","2,64","2,77","-4,11","7,99","0,267"
