HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,BV,hyades
22376,4.81733,15.8632,2.18,7.37,-3.81,8.31,1.052,0
23404,5.0299,11.3753,2.18,-7.47,-11.29,7.17,0.038,0
18626,3.98687,15.8145,2.19,-15.41,-18.21,8.9,1.776,0
22732,4.8902,7.67934,2.19,3.7,-3.3,8.85,0.001,0
23003,4.94787,6.03008,2.19,9.51,-6.95,8.72,0.208,0
25287,5.40965,15.9753,2.19,-8.49,-4.32,8.53,0.122,0
25413,5.4352,22.8218,2.19,-17.95,-24.61,10.27,0.557,0
25886,5.52659,14.9289,2.19,4.36,-6.13,6.69,-0.061,0
15433,3.31471,7.28996,2.2,6.78,-10.17,9.45,0.388,0
27683,5.8607,21.5411,2.2,3.36,-0.33,10.74,0.192,0
14310,3.07653,21.724,2.21,-13.24,-7.32,8.45,1.427,0
24269,5.20833,17.2133,2.21,10.4,-15.07,8.4,1.56,0
27900,5.90371,10.5864,2.21,0,-7.41,6.13,1.404,0
16934,3.63194,9.93283,2.22,21.02,-20.45,7.92,1.815,0
23846,5.12664,4.54177,2.22,-0.15,-3.85,7.98,-0.036,0
24515,5.25869,5.75973,2.22,-5.09,-10.18,8.68,0.244,0
26647,5.66329,14.7992,2.22,-1.07,-1.25,8.14,1.692,0
25904,5.52887,8.46655,2.23,0.82,8.6,8.56,1.668,0
26215,5.58701,10.2401,2.23,1.45,-3.76,5.6,0.149,0
23153,4.9814,8.97445,2.24,1.89,-7.31,8.45,0.08,0
23406,5.03021,11.3832,2.24,-1.01,-14.15,10.08,0.742,0
25477,5.44841,3.61467,2.24,0.27,-0.13,7.2,-0.141,0
26421,5.62299,3.53953,2.24,6.14,-7.33,9.55,0.004,0
26992,5.72682,6.8885,2.25,-4.99,-7.4,7.22,-0.06,0
27614,5.84685,14.4434,2.25,5.09,-13.45,6.75,-0.07,0
28373,5.99417,19.9137,2.25,7.1,-3.61,10.02,0.355,0
